"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 16 00:44:49 UTC 2023","Fri Jun 16 00:45:09 UTC 2023","20479","chromium","","","","","@E2E Login to Jira",""
"passed","Fri Jun 16 00:57:25 UTC 2023","Fri Jun 16 00:57:45 UTC 2023","20492","chromium","","","","","@OOP Jira Test",""
